comment_id,score,uuid,link
5943,0,122336972,https://stackoverflow.com/questions/69208813/configuring-and-connect-to-neo4j#comment122336972_69208813
5944,0,122344431,https://stackoverflow.com/questions/69208813/configuring-and-connect-to-neo4j#comment122344431_69208813
5945,0,122318244,https://stackoverflow.com/questions/69199782/neo4j-return-n-to-columns-with-distinct-keysn-as-headers#comment122318244_69199782
5946,0,122324738,https://stackoverflow.com/questions/69199782/neo4j-return-n-to-columns-with-distinct-keysn-as-headers#comment122324738_69199782
5947,1,122267204,https://stackoverflow.com/questions/69177409/how-to-store-knowledge-graph#comment122267204_69177409
5948,0,122269010,https://stackoverflow.com/questions/69177409/how-to-store-knowledge-graph#comment122269010_69177409
5949,0,122369050,https://stackoverflow.com/questions/69177409/how-to-store-knowledge-graph#comment122369050_69177409
5950,1,122315777,https://stackoverflow.com/questions/69163777/connection-closed-accessing-neo4j-in-docker-from-node-js-in-docker-on-mac#comment122315777_69163777
5951,0,122321125,https://stackoverflow.com/questions/69163777/connection-closed-accessing-neo4j-in-docker-from-node-js-in-docker-on-mac#comment122321125_69163777
5952,0,122234450,https://stackoverflow.com/questions/69158730/neo4j-apoc-procedure-do-not-import-all-of-my-data#comment122234450_69158730
5953,0,122239749,https://stackoverflow.com/questions/69158730/neo4j-apoc-procedure-do-not-import-all-of-my-data#comment122239749_69158730
5954,0,122215334,https://stackoverflow.com/questions/69147992/not-able-to-create-graph-with-native-projection#comment122215334_69147992
5955,0,122234327,https://stackoverflow.com/questions/69147992/not-able-to-create-graph-with-native-projection#comment122234327_69147992
5956,0,122234368,https://stackoverflow.com/questions/69147992/not-able-to-create-graph-with-native-projection#comment122234368_69147992
5957,0,122234668,https://stackoverflow.com/questions/69147992/not-able-to-create-graph-with-native-projection#comment122234668_69147992
5958,1,122235683,https://stackoverflow.com/questions/69147992/not-able-to-create-graph-with-native-projection#comment122235683_69147992
5959,0,122187069,https://stackoverflow.com/questions/69118543/spring-data-neo4j-field-annotation-validation#comment122187069_69118543
5960,0,122187325,https://stackoverflow.com/questions/69118543/spring-data-neo4j-field-annotation-validation#comment122187325_69118543
5961,0,122177158,https://stackoverflow.com/questions/69107479/neo4j-bloom-slows-down-with-increased-number-of-labels#comment122177158_69107479
5962,1,122138207,https://stackoverflow.com/questions/69104919/py2neo-indexerror-index-out-of-range-on-graph-run-with-gds-alpha-allshortestpat#comment122138207_69104919
5963,0,122127469,https://stackoverflow.com/questions/69098868/shortest-path-between-node-a-and-first-occurance-of-node-b#comment122127469_69098868
5964,0,122113415,https://stackoverflow.com/questions/69084096/inheritance-of-parent-ontology-attributes-in-neo4j#comment122113415_69084096
5965,0,122264119,https://stackoverflow.com/questions/69084096/inheritance-of-parent-ontology-attributes-in-neo4j#comment122264119_69084096
5966,0,121871587,https://stackoverflow.com/questions/68956342/neo4j-load-csv-a-gzip-file-from-ftp#comment121871587_68956342
5967,0,121892273,https://stackoverflow.com/questions/68956342/neo4j-load-csv-a-gzip-file-from-ftp#comment121892273_68956342
5968,0,121955804,https://stackoverflow.com/questions/68956342/neo4j-load-csv-a-gzip-file-from-ftp#comment121955804_68956342
5969,0,121960662,https://stackoverflow.com/questions/68951239/is-there-an-option-or-a-workaround-to-collapse-a-node-in-neo4j-graphxr-view#comment121960662_68951239
5970,0,121824589,https://stackoverflow.com/questions/68930781/neo4j-install-on-ubuntu-password-not-working#comment121824589_68930781
5971,0,121825152,https://stackoverflow.com/questions/68930781/neo4j-install-on-ubuntu-password-not-working#comment121825152_68930781
5972,0,121832287,https://stackoverflow.com/questions/68930781/neo4j-install-on-ubuntu-password-not-working#comment121832287_68930781
5973,0,121801606,https://stackoverflow.com/questions/68919623/neo4j-4-3-3-apoc-periodic-iterate-uses-only-one-core-how-does-param-concurrenc#comment121801606_68919623
5974,1,121802375,https://stackoverflow.com/questions/68919623/neo4j-4-3-3-apoc-periodic-iterate-uses-only-one-core-how-does-param-concurrenc#comment121802375_68919623
5975,0,121802989,https://stackoverflow.com/questions/68919623/neo4j-4-3-3-apoc-periodic-iterate-uses-only-one-core-how-does-param-concurrenc#comment121802989_68919623
5976,0,121804030,https://stackoverflow.com/questions/68919623/neo4j-4-3-3-apoc-periodic-iterate-uses-only-one-core-how-does-param-concurrenc#comment121804030_68919623
5977,0,121663293,https://stackoverflow.com/questions/68820740/neo4j-what-metrics-to-alert-on#comment121663293_68820740
5978,0,121576448,https://stackoverflow.com/questions/68792306/neo4j-create-subgraph-java-lang-arrayindexoutofboundsexception#comment121576448_68792306
5979,0,121607170,https://stackoverflow.com/questions/68792306/neo4j-create-subgraph-java-lang-arrayindexoutofboundsexception#comment121607170_68792306
5980,1,121607327,https://stackoverflow.com/questions/68792306/neo4j-create-subgraph-java-lang-arrayindexoutofboundsexception#comment121607327_68792306
5981,1,121560674,https://stackoverflow.com/questions/68784224/graphql-stop-neo4jgraphql-translate-my-models-during-generation#comment121560674_68784224
5982,0,121560789,https://stackoverflow.com/questions/68784224/graphql-stop-neo4jgraphql-translate-my-models-during-generation#comment121560789_68784224
5983,0,121562458,https://stackoverflow.com/questions/68784224/graphql-stop-neo4jgraphql-translate-my-models-during-generation#comment121562458_68784224
5984,1,121563130,https://stackoverflow.com/questions/68784224/graphql-stop-neo4jgraphql-translate-my-models-during-generation#comment121563130_68784224
5985,0,121582416,https://stackoverflow.com/questions/68783594/neo4j-cyper-to-delete-and-upsert-relationship-in-single-query-using-unwind#comment121582416_68783594
5986,0,121582365,https://stackoverflow.com/questions/68782011/cypher-implement-exists-sub-query-functionality-with-a-call-sub-query#comment121582365_68782011
5987,0,121544331,https://stackoverflow.com/questions/68774632/is-there-a-sql-query-or-procedure-in-oracle-11g-doing-the-same-as-neo4j-cypher-q#comment121544331_68774632
5988,0,121544551,https://stackoverflow.com/questions/68774632/is-there-a-sql-query-or-procedure-in-oracle-11g-doing-the-same-as-neo4j-cypher-q#comment121544551_68774632
5989,0,121551042,https://stackoverflow.com/questions/68774632/is-there-a-sql-query-or-procedure-in-oracle-11g-doing-the-same-as-neo4j-cypher-q#comment121551042_68774632
5990,0,121552594,https://stackoverflow.com/questions/68774632/is-there-a-sql-query-or-procedure-in-oracle-11g-doing-the-same-as-neo4j-cypher-q#comment121552594_68774632
5991,1,121508449,https://stackoverflow.com/questions/68754103/there-is-no-procedure-with-the-name-apoc-refactor-clonesubgraphfrompaths-registe#comment121508449_68754103
5992,0,121547064,https://stackoverflow.com/questions/68751260/neo4j-cypher-query-error-nolockpipeline2-is-already-locked#comment121547064_68751260
5993,0,121440704,https://stackoverflow.com/questions/68716327/neo4j-cypher-query-memory-usage-dependent-on-order-by-and-limit-clause#comment121440704_68716327
5994,0,121433085,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121433085_68711931
5995,0,121433268,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121433268_68711931
5996,0,121435482,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121435482_68711931
5997,0,121435833,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121435833_68711931
5998,0,121436864,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121436864_68711931
5999,0,121451490,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121451490_68711931
6000,0,121453976,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121453976_68711931
6001,0,121454535,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121454535_68711931
6002,0,121454980,https://stackoverflow.com/questions/68711931/longest-path-through-graph#comment121454980_68711931
6003,1,121424136,https://stackoverflow.com/questions/68698141/cypher-the-usage-of-apoc-cypher-runfirstcolumnmany-inside-a-where-clause#comment121424136_68698141
6004,0,121393296,https://stackoverflow.com/questions/68680466/create-relationships-in-batches-in-the-neo4j-database-using-py2neo-bulk-api-wit#comment121393296_68680466
6005,0,121388890,https://stackoverflow.com/questions/68671937/regex-on-the-set-statement-in-cypher#comment121388890_68671937
6006,3,121348037,https://stackoverflow.com/questions/68663948/how-to-create-edge-in-neo4j-of-a-football-match-passes#comment121348037_68663948
6007,1,121320971,https://stackoverflow.com/questions/68648561/how-to-handle-deadlocks-using-the-javascript-neo4j-driver#comment121320971_68648561
6008,0,121321996,https://stackoverflow.com/questions/68648561/how-to-handle-deadlocks-using-the-javascript-neo4j-driver#comment121321996_68648561
6009,0,121325663,https://stackoverflow.com/questions/68648561/how-to-handle-deadlocks-using-the-javascript-neo4j-driver#comment121325663_68648561
6010,0,121297689,https://stackoverflow.com/questions/68623325/neo4j-4-3-cluster-creation-always-fail#comment121297689_68623325
6011,0,121190783,https://stackoverflow.com/questions/68572760/search-unspecific-term-with-specific-answer#comment121190783_68572760
6012,0,121221728,https://stackoverflow.com/questions/68572760/search-unspecific-term-with-specific-answer#comment121221728_68572760
6013,0,121185804,https://stackoverflow.com/questions/68563846/neo4j-how-to-filter-query#comment121185804_68563846
6014,0,121186823,https://stackoverflow.com/questions/68563846/neo4j-how-to-filter-query#comment121186823_68563846
6015,0,121649881,https://stackoverflow.com/questions/68563846/neo4j-how-to-filter-query#comment121649881_68563846
6016,0,121668803,https://stackoverflow.com/questions/68563846/neo4j-how-to-filter-query#comment121668803_68563846
6017,0,121106846,https://stackoverflow.com/questions/68526769/how-to-implement-datetime-data-in-neo4j#comment121106846_68526769
6018,0,121107320,https://stackoverflow.com/questions/68526769/how-to-implement-datetime-data-in-neo4j#comment121107320_68526769
6019,0,121112043,https://stackoverflow.com/questions/68526769/how-to-implement-datetime-data-in-neo4j#comment121112043_68526769
6020,0,121046929,https://stackoverflow.com/questions/68489179/connecting-two-nodes-based-on-identical-properties-in-neo4j#comment121046929_68489179
6021,0,121051304,https://stackoverflow.com/questions/68489179/connecting-two-nodes-based-on-identical-properties-in-neo4j#comment121051304_68489179
6022,1,121061903,https://stackoverflow.com/questions/68489179/connecting-two-nodes-based-on-identical-properties-in-neo4j#comment121061903_68489179
6023,0,120990949,https://stackoverflow.com/questions/68454875/neo4j-cypher-shell-create-relationship-too-slow-for-existing-nodes#comment120990949_68454875
6024,0,120999235,https://stackoverflow.com/questions/68454875/neo4j-cypher-shell-create-relationship-too-slow-for-existing-nodes#comment120999235_68454875
6025,1,120947500,https://stackoverflow.com/questions/68430901/is-it-possible-to-implement-schema-modeling-with-neo4j#comment120947500_68430901
6026,0,120937499,https://stackoverflow.com/questions/68414313/trying-to-create-a-new-node-that-must-have-all-nodes-with-their-labels-and-prope#comment120937499_68414313
6027,0,120963847,https://stackoverflow.com/questions/68414313/trying-to-create-a-new-node-that-must-have-all-nodes-with-their-labels-and-prope#comment120963847_68414313
